model,config,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,f1_mean,f1_sd,f1_min,f1_max
AttentionNet,Full_Preprocessing,0.7649122807017543,0.04225120904839403,0.7192982456140351,0.8245614035087719,0.7550532794514577,0.039752548777083806,0.7169811320754716,0.8076923076923077
AttentionNet,Linear_Interpolation,0.7649122807017543,0.053501581340269805,0.7017543859649122,0.8421052631578947,0.7564414867558069,0.04266767121529995,0.711864406779661,0.8235294117647058
AttentionNet,No_Filtering,0.7368421052631579,0.0554785554415505,0.6666666666666666,0.8070175438596491,0.7326891195313876,0.044074515126783884,0.6885245901639344,0.7924528301886793
AttentionNet,Without_Blink_Expansion,0.7824561403508772,0.04038899801130293,0.7192982456140351,0.8245614035087719,0.7790548209604471,0.03640912133604384,0.7241379310344828,0.8214285714285714
AttentionNet,Without_Mask_Features,0.775438596491228,0.06493598429235697,0.6842105263157895,0.8421052631578947,0.7670478368591576,0.06416637762053641,0.6785714285714286,0.8301886792452831
CNNLSTM,Full_Preprocessing,0.7578947368421052,0.05464004035928924,0.7017543859649122,0.8245614035087719,0.7476946227720221,0.05301040936109531,0.7017543859649122,0.8214285714285714
CNNLSTM,Linear_Interpolation,0.743859649122807,0.03637972167250474,0.7017543859649122,0.7894736842105263,0.7366395008500272,0.03499500299327191,0.6909090909090909,0.7719298245614035
CNNLSTM,No_Filtering,0.743859649122807,0.08096828602957422,0.6666666666666666,0.8596491228070176,0.7413479416758105,0.0748076610847708,0.6666666666666666,0.8571428571428571
CNNLSTM,Without_Blink_Expansion,0.7403508771929824,0.040006155266636395,0.7017543859649122,0.8070175438596491,0.7296266386648241,0.04030417750828025,0.6938775510204082,0.7924528301886793
CNNLSTM,Without_Mask_Features,0.7649122807017543,0.034199278402838436,0.7192982456140351,0.8070175438596491,0.7551294847440893,0.02811449033699733,0.7241379310344828,0.7857142857142857
PureLSTM,Full_Preprocessing,0.743859649122807,0.04740089854774139,0.6666666666666666,0.7894736842105263,0.7397386034852582,0.05110089250179467,0.6545454545454545,0.7857142857142857
PureLSTM,Linear_Interpolation,0.7614035087719297,0.02660658050544408,0.7368421052631579,0.7894736842105263,0.7568094740508534,0.029601696102866133,0.7272727272727273,0.7931034482758621
PureLSTM,No_Filtering,0.7473684210526316,0.04038899801130292,0.6842105263157895,0.7894736842105263,0.7483061101028433,0.03917622542422973,0.6896551724137931,0.7931034482758621
PureLSTM,Without_Blink_Expansion,0.7684210526315789,0.014678246079545182,0.7543859649122807,0.7894736842105263,0.7659204941436218,0.012845225102659938,0.7547169811320755,0.7857142857142857
PureLSTM,Without_Mask_Features,0.7263157894736842,0.04038899801130294,0.6666666666666666,0.7719298245614035,0.727372566613848,0.032704531291318895,0.6885245901639344,0.7719298245614035
