model,comparison,n_participants,n_seeds,delta_accuracy_mean,delta_accuracy_sd,delta_f1_mean,delta_f1_sd,seeds_full_accuracy_higher,seeds_equal_accuracy,seed_delta_accuracy,seed_delta_f1,seed_mcnemar_p,crossed_bootstrap_delta_accuracy_ci_low,crossed_bootstrap_delta_accuracy_ci_high,crossed_bootstrap_delta_f1_ci_low,crossed_bootstrap_delta_f1_ci_high
AttentionNet,Full_Preprocessing vs Linear_Interpolation,57,5,2.2204460492503132e-17,0.03922926276315424,-0.0013882073043492316,0.03711580616914539,2,1,"{""42"": 0.01754385964912286, ""43"": 0.052631578947368474, ""44"": 0.0, ""45"": -0.01754385964912275, ""46"": -0.052631578947368474}","{""42"": 0.012273524254821755, ""43"": 0.048872180451127845, ""44"": 0.0, ""45"": -0.015837104072398134, ""46"": -0.052249637155297624}","{""42"": 1.0, ""43"": 0.25, ""44"": 1.0, ""45"": 1.0, ""46"": 0.25}",-0.05263157894736836,0.0491228070175439,-0.04941836581496097,0.0438769456862168
AttentionNet,Full_Preprocessing vs Without_Blink_Expansion,57,5,-0.017543859649122796,0.05114870083197634,-0.024001541508989387,0.05618150917032108,2,1,"{""42"": 0.0, ""43"": 0.01754385964912286, ""44"": -0.05263157894736836, ""45"": 0.03508771929824561, ""46"": -0.08771929824561409}","{""42"": 0.0, ""43"": 0.013784461152882233, ""44"": -0.059259259259259345, ""45"": 0.02991452991452992, ""46"": -0.10444743935309975}","{""42"": 1.0, ""43"": 1.0, ""44"": 0.25, ""45"": 0.7265625, ""46"": 0.2265625}",-0.09122807017543855,0.05263157894736836,-0.1068417758467006,0.04866593017216402
AttentionNet,Full_Preprocessing vs No_Filtering,57,5,0.028070175438596533,0.06026513697304447,0.022364159920070105,0.06378306704016731,4,0,"{""42"": 0.052631578947368474, ""43"": 0.08771929824561409, ""44"": 0.01754385964912286, ""45"": 0.052631578947368474, ""46"": -0.07017543859649122}","{""42"": 0.03561334087054835, ""43"": 0.09480519480519478, ""44"": 0.003898635477582846, ""45"": 0.05297532656023218, ""46"": -0.07547169811320764}","{""42"": 0.5078125, ""43"": 0.0625, ""44"": 1.0, ""45"": 0.5078125, ""46"": 0.2890625}",-0.056140350877192935,0.10877192982456141,-0.06827350364022142,0.11052832806634191
AttentionNet,Full_Preprocessing vs Without_Mask_Features,57,5,-0.010526315789473672,0.05492096786841589,-0.011994557407699924,0.06042757717367251,2,2,"{""42"": 0.03508771929824561, ""43"": 0.0, ""44"": 0.01754385964912286, ""45"": 0.0, ""46"": -0.10526315789473684}","{""42"": 0.04556650246305416, ""43"": 0.007936507936507908, ""44"": 0.013468013468013407, ""45"": -0.013736263736263687, ""46"": -0.1132075471698114}","{""42"": 0.6875, ""43"": 1.0, ""44"": 1.0, ""45"": 1.0, ""46"": 0.109375}",-0.09122807017543866,0.06315789473684208,-0.10652506811324373,0.070691045201214
CNNLSTM,Full_Preprocessing vs Linear_Interpolation,57,5,0.014035087719298244,0.0337462878274936,0.011055121921994981,0.03439470871547656,3,1,"{""42"": -0.03508771929824561, ""43"": 0.0, ""44"": 0.03508771929824561, ""45"": 0.01754385964912275, ""46"": 0.052631578947368474}","{""42"": -0.03508771929824561, ""43"": -0.010582010582010581, ""44"": 0.036363636363636376, ""45"": 0.015082956259426794, ""46"": 0.04949874686716793}","{""42"": 0.625, ""43"": 1.0, ""44"": 0.5, ""45"": 1.0, ""46"": 0.25}",-0.03157894736842104,0.06315789473684208,-0.03683758788891301,0.05943935420773187
CNNLSTM,Full_Preprocessing vs Without_Blink_Expansion,57,5,0.017543859649122816,0.030386856273138196,0.01806798410719799,0.04427158643757765,2,3,"{""42"": 0.0, ""43"": 0.0, ""44"": 0.0, ""45"": 0.07017543859649122, ""46"": 0.01754385964912286}","{""42"": 0.0, ""43"": -0.010582010582010581, ""44"": -0.018489984591679498, ""45"": 0.09043617446978791, ""46"": 0.028975741239892105}","{""42"": 1.0, ""43"": 1.0, ""44"": 1.0, ""45"": 0.2890625, ""46"": 1.0}",-0.04561403508771922,0.08421052631578951,-0.051265642880925916,0.09814048196920991
CNNLSTM,Full_Preprocessing vs No_Filtering,57,5,0.014035087719298244,0.054640040359289224,0.0063466810962116375,0.05334127651276495,3,0,"{""42"": 0.03508771929824561, ""43"": -0.05263157894736836, ""44"": 0.07017543859649122, ""45"": 0.05263157894736836, ""46"": -0.03508771929824561}","{""42"": 0.013229795800977828, ""43"": -0.05993265993265995, ""44"": 0.06060606060606066, ""45"": 0.05354449472096534, ""46"": -0.0357142857142857}","{""42"": 0.7265625, ""43"": 0.5078125, ""44"": 0.34375, ""45"": 0.5078125, ""46"": 0.75390625}",-0.07017543859649122,0.09473684210526323,-0.07795804908329375,0.08906178023332871
CNNLSTM,Full_Preprocessing vs Without_Mask_Features,57,5,-0.007017543859649145,0.03637972167250478,-0.0074348619720670415,0.031227508946472627,2,1,"{""42"": -0.052631578947368474, ""43"": -0.03508771929824561, ""44"": 0.01754385964912275, ""45"": 0.0, ""46"": 0.03508771929824561}","{""42"": -0.03898635477582846, ""43"": -0.03703703703703698, ""44"": 0.0031347962382445305, ""45"": 0.0, ""46"": 0.0357142857142857}","{""42"": 0.453125, ""43"": 0.7744140625, ""44"": 1.0, ""45"": 1.0, ""46"": 0.6875}",-0.07719298245614026,0.06315789473684208,-0.07862606726490097,0.061734731905368635
PureLSTM,Full_Preprocessing vs Linear_Interpolation,57,5,-0.017543859649122816,0.04114399789318799,-0.01707087056559513,0.04029527587057381,2,1,"{""42"": -0.07017543859649122, ""43"": 0.01754385964912275, ""44"": -0.052631578947368474, ""45"": 0.01754385964912286, ""46"": 0.0}","{""42"": -0.07272727272727275, ""43"": 0.01330913490623109, ""44"": -0.04734073641145531, ""45"": 0.013468013468013407, ""46"": 0.007936507936507908}","{""42"": 0.125, ""43"": 1.0, ""44"": 0.453125, ""45"": 1.0, ""46"": 1.0}",-0.0736842105263158,0.03166666666666548,-0.07202226355875559,0.03117767483155104
PureLSTM,Full_Preprocessing vs Without_Blink_Expansion,57,5,-0.02456140350877194,0.038436670702116954,-0.026181890658363648,0.04512450331528684,1,0,"{""42"": -0.08771929824561409, ""43"": -0.01754385964912286, ""44"": -0.01754385964912286, ""45"": -0.01754385964912275, ""46"": 0.01754385964912286}","{""42"": -0.10407523510971783, ""43"": -0.013784461152882233, ""44"": -0.012857977790765585, ""45"": -0.013976240391334827, ""46"": 0.013784461152882233}","{""42"": 0.1796875, ""43"": 1.0, ""44"": 1.0, ""45"": 1.0, ""46"": 1.0}",-0.09473684210526323,0.04210526315789476,-0.09990270722385386,0.04108418248843573
PureLSTM,Full_Preprocessing vs No_Filtering,57,5,-0.0035087719298245723,0.0313834102105234,-0.008567506617585074,0.03425349385153276,1,0,"{""42"": -0.01754385964912286, ""43"": -0.01754385964912286, ""44"": -0.01754385964912286, ""45"": -0.01754385964912275, ""46"": 0.052631578947368474}","{""42"": -0.03510971786833861, ""43"": -0.021173623714458634, ""44"": -0.004237288135593209, ""45"": -0.031189083820662766, ""46"": 0.048872180451127845}","{""42"": 1.0, ""43"": 1.0, ""44"": 1.0, ""45"": 1.0, ""46"": 0.5078125}",-0.07017543859649122,0.06666666666666665,-0.0775882247992864,0.05852159023077393
