model,config,global_seed,fold_id,test_pid,window_ms,stride_ms,primary_score_tie_count
AttentionNet,Full_Preprocessing,42,1,1,1000,500,1
AttentionNet,Full_Preprocessing,42,2,2,1000,500,4
AttentionNet,Full_Preprocessing,42,3,3,1000,500,4
AttentionNet,Full_Preprocessing,42,4,4,1000,500,4
AttentionNet,Full_Preprocessing,42,5,5,1000,500,4
AttentionNet,Full_Preprocessing,42,6,6,1000,500,4
AttentionNet,Full_Preprocessing,42,7,7,1000,500,1
AttentionNet,Full_Preprocessing,42,8,8,1000,500,4
AttentionNet,Full_Preprocessing,42,9,9,1000,500,4
AttentionNet,Full_Preprocessing,42,10,10,1000,500,4
AttentionNet,Full_Preprocessing,42,11,11,1000,500,4
AttentionNet,Full_Preprocessing,42,12,13,1000,500,1
AttentionNet,Full_Preprocessing,42,13,14,1000,500,4
AttentionNet,Full_Preprocessing,42,14,15,1000,500,3
AttentionNet,Full_Preprocessing,42,15,17,1000,500,3
AttentionNet,Full_Preprocessing,42,16,18,1000,500,4
AttentionNet,Full_Preprocessing,42,17,19,1000,500,4
AttentionNet,Full_Preprocessing,42,18,20,1000,500,2
AttentionNet,Full_Preprocessing,42,19,21,1000,500,4
AttentionNet,Full_Preprocessing,42,20,22,1000,500,4
AttentionNet,Full_Preprocessing,42,21,23,1000,500,2
AttentionNet,Full_Preprocessing,42,22,24,1000,500,4
AttentionNet,Full_Preprocessing,42,23,25,1000,500,4
AttentionNet,Full_Preprocessing,42,24,26,1000,500,2
AttentionNet,Full_Preprocessing,42,25,27,1000,500,4
AttentionNet,Full_Preprocessing,42,26,28,1500,750,2
AttentionNet,Full_Preprocessing,42,27,29,1000,500,3
AttentionNet,Full_Preprocessing,42,28,30,1000,500,3
AttentionNet,Full_Preprocessing,42,29,31,1000,500,3
AttentionNet,Full_Preprocessing,42,30,32,1000,500,4
AttentionNet,Full_Preprocessing,42,31,33,1000,500,4
AttentionNet,Full_Preprocessing,42,32,34,1000,500,4
AttentionNet,Full_Preprocessing,42,33,35,1000,500,4
AttentionNet,Full_Preprocessing,42,34,36,1500,750,3
AttentionNet,Full_Preprocessing,42,35,37,1000,500,2
AttentionNet,Full_Preprocessing,42,36,38,1000,500,2
AttentionNet,Full_Preprocessing,42,37,39,1000,500,4
AttentionNet,Full_Preprocessing,42,38,40,1000,500,2
AttentionNet,Full_Preprocessing,42,39,41,1000,500,3
AttentionNet,Full_Preprocessing,42,40,42,2000,500,2
AttentionNet,Full_Preprocessing,42,41,43,1000,500,2
AttentionNet,Full_Preprocessing,42,42,44,2000,1000,1
AttentionNet,Full_Preprocessing,42,43,45,1500,750,1
AttentionNet,Full_Preprocessing,42,44,46,1500,750,3
AttentionNet,Full_Preprocessing,42,45,47,1000,500,4
AttentionNet,Full_Preprocessing,42,46,48,1000,500,3
AttentionNet,Full_Preprocessing,42,47,49,1000,500,4
AttentionNet,Full_Preprocessing,42,48,50,1000,500,4
AttentionNet,Full_Preprocessing,42,49,51,1000,500,4
AttentionNet,Full_Preprocessing,42,50,52,1000,500,4
AttentionNet,Full_Preprocessing,42,51,53,1000,500,1
AttentionNet,Full_Preprocessing,42,52,54,1000,500,4
AttentionNet,Full_Preprocessing,42,53,55,1000,500,4
AttentionNet,Full_Preprocessing,42,54,56,1000,500,4
AttentionNet,Full_Preprocessing,42,55,57,2000,500,1
AttentionNet,Full_Preprocessing,42,56,58,2000,1000,1
AttentionNet,Full_Preprocessing,42,57,59,1500,750,3
AttentionNet,Full_Preprocessing,43,1,1,1000,500,4
AttentionNet,Full_Preprocessing,43,2,2,1000,500,4
AttentionNet,Full_Preprocessing,43,3,3,1000,500,4
AttentionNet,Full_Preprocessing,43,4,4,1000,500,2
AttentionNet,Full_Preprocessing,43,5,5,1000,500,4
AttentionNet,Full_Preprocessing,43,6,6,1000,500,4
AttentionNet,Full_Preprocessing,43,7,7,1000,500,4
AttentionNet,Full_Preprocessing,43,8,8,1000,500,4
AttentionNet,Full_Preprocessing,43,9,9,1500,750,1
AttentionNet,Full_Preprocessing,43,10,10,1000,500,4
AttentionNet,Full_Preprocessing,43,11,11,1000,500,3
AttentionNet,Full_Preprocessing,43,12,13,1000,500,4
AttentionNet,Full_Preprocessing,43,13,14,1500,750,3
AttentionNet,Full_Preprocessing,43,14,15,1000,500,4
AttentionNet,Full_Preprocessing,43,15,17,1000,500,1
AttentionNet,Full_Preprocessing,43,16,18,1500,750,3
AttentionNet,Full_Preprocessing,43,17,19,1000,500,2
AttentionNet,Full_Preprocessing,43,18,20,1000,500,2
AttentionNet,Full_Preprocessing,43,19,21,1000,500,4
