model,config,global_seed,accuracy,f1
AttentionNet,Full_Preprocessing,42,0.7543859649122807,0.75
AttentionNet,Full_Preprocessing,43,0.7192982456140351,0.7333333333333333
AttentionNet,Full_Preprocessing,44,0.7719298245614035,0.7719298245614035
AttentionNet,Full_Preprocessing,45,0.7543859649122807,0.7407407407407407
AttentionNet,Full_Preprocessing,46,0.8421052631578947,0.8421052631578947
CNNLSTM,Full_Preprocessing,42,0.6842105263157895,0.7
CNNLSTM,Full_Preprocessing,43,0.7894736842105263,0.7857142857142857
CNNLSTM,Full_Preprocessing,44,0.7543859649122807,0.7666666666666667
CNNLSTM,Full_Preprocessing,45,0.7368421052631579,0.7058823529411765
CNNLSTM,Full_Preprocessing,46,0.8245614035087719,0.8275862068965517
PureLSTM,Full_Preprocessing,42,0.6666666666666666,0.6666666666666666
PureLSTM,Full_Preprocessing,43,0.7894736842105263,0.7857142857142857
PureLSTM,Full_Preprocessing,44,0.8070175438596491,0.8135593220338984
PureLSTM,Full_Preprocessing,45,0.7017543859649122,0.7017543859649122
PureLSTM,Full_Preprocessing,46,0.7894736842105263,0.7857142857142857
AttentionNet,No_Filtering,42,0.7017543859649122,0.7017543859649122
AttentionNet,No_Filtering,43,0.7894736842105263,0.7777777777777778
AttentionNet,No_Filtering,44,0.7368421052631579,0.7457627118644068
AttentionNet,No_Filtering,45,0.8421052631578947,0.8301886792452831
AttentionNet,No_Filtering,46,0.8245614035087719,0.8275862068965517
