model,config,window_ms,stride_ms,count,percent
AttentionNet,Full_Preprocessing,1000,500,225,78.94736842105263
AttentionNet,Full_Preprocessing,1500,750,34,11.929824561403509
AttentionNet,Full_Preprocessing,2000,500,14,4.912280701754386
AttentionNet,Full_Preprocessing,2000,1000,12,4.2105263157894735
AttentionNet,No_Filtering,1000,500,222,77.89473684210526
AttentionNet,No_Filtering,1500,750,26,9.12280701754386
AttentionNet,No_Filtering,2000,500,20,7.017543859649122
AttentionNet,No_Filtering,2000,1000,17,5.964912280701754
CNNLSTM,Full_Preprocessing,1000,500,218,76.49122807017544
CNNLSTM,Full_Preprocessing,1500,750,40,14.035087719298245
CNNLSTM,Full_Preprocessing,2000,500,9,3.1578947368421053
CNNLSTM,Full_Preprocessing,2000,1000,18,6.315789473684211
PureLSTM,Full_Preprocessing,1000,500,228,80.0
PureLSTM,Full_Preprocessing,1500,750,25,8.771929824561402
PureLSTM,Full_Preprocessing,2000,500,18,6.315789473684211
PureLSTM,Full_Preprocessing,2000,1000,14,4.912280701754386
